Nome,Numero,CPF,Endereco
Marina Ribeiro,0900 145 8316,135.908.627-77,"Estrada de Albuquerque, 3, Vila Nova Gameleira 2ª Seção, 14980032 Fogaça da Mata / TO"
Maria Julia Caldeira,+55 81 0704-5986,839.720.415-60,"Quadra Vieira, 53, Teixeira Dias, 38987482 Rezende da Mata / RR"
Maria Clara Campos,51 0650 6372,123.705.469-99,"Esplanada Silveira, 74, Ouro Minas, 70469141 Guerra do Sul / RR"
Stephany Lopes,41 8023-9362,364.957.201-06,"Via de Oliveira, 1, Aguas Claras, 53142-358 da Conceição / RN"
Ana Lívia Souza,(051) 0318 9411,324.718.096-69,"Vereda de Gomes, Ermelinda, 06286583 Alves / DF"
Diego Silveira,+55 11 7205 9442,328.751.460-17,"Viaduto Cassiano, 615, Eymard, 66926-326 Pacheco de Pacheco / RR"
Augusto Nascimento,+55 51 2625 1924,167.054.923-25,"Esplanada das Neves, Barreiro, 07056704 Peixoto do Amparo / MA"
Davi Lucas Sousa,+55 (071) 8705 7112,538.791.264-37,"Trecho Macedo, São Vicente, 28398282 Barros do Norte / SP"
João Miguel Novaes,+55 61 3899 2428,317.452.960-34,"Favela de Borges, 51, Caiçaras, 29522-139 Duarte de Porto / PB"
Sra. Aylla Martins,+55 (051) 4224-7102,715.038.962-77,"Avenida de Silveira, Copacabana, 28790-288 Moreira / SC"
Milena Gomes,+55 31 8562 3850,832.941.756-55,"Viaduto de Sampaio, 80, Nossa Senhora Do Rosário, 58146-689 Gomes da Praia / BA"
Giovanna Mendonça,+55 (021) 7051 4989,419.756.238-19,"Quadra de Melo, 20, Mineirão, 54789-618 Azevedo do Campo / SP"
Dr. Luan Nunes,0900-677-9347,187.946.025-49,"Campo Aylla da Mata, Caiçara - Adelaide, 47502-738 Aparecida de Sales / MA"
Ana Lívia Campos,+55 11 6751 0526,128.370.496-03,"Travessa Brayan Lopes, 76, Conjunto Serra Verde, 22294-608 Novais / MT"
